domain,url,crux_rank,tech_signals,uses_issuu,uses_fliphtml5
2bytescorp.com,https://www.2bytescorp.com/,,Framer Sites,false,false
30n.vc,https://www.30n.vc/,,Framer Sites,false,false
3dit.pl,https://3dit.pl/,,Framer Sites,false,false
4design.co.in,https://www.4design.co.in/,,Framer Sites,false,false
ablements.com,https://ablements.com/,,Framer Sites,false,false
actionmodel.com,https://actionmodel.com/,,Framer Sites,false,false
aftermark.ai,https://www.aftermark.ai/,,Framer Sites,false,false
agently.dev,https://www.agently.dev/,,Framer Sites,false,false
agoodstay.co,https://hotels.agoodstay.co/,,Framer Sites,false,false
aktiv-forum-leipzig.de,https://aktiv-forum-leipzig.de/,,Framer Sites,false,false
alexezhov.com,https://alexezhov.com/,,Framer Sites,false,false
algonova.id,https://test.algonova.id/,,Framer Sites,false,false
alien.org,https://alien.org/,,Framer Sites,false,false
alleycatspizza.co.uk,https://www.alleycatspizza.co.uk/,,Framer Sites,false,false
alpharun.com,https://www.alpharun.com/,,Framer Sites,false,false
aneshk.design,https://aneshk.design/,,Framer Sites,false,false
arcol.io,https://arcol.io/,,Framer Sites,false,false
atrium.clinic,https://www.atrium.clinic/,,Framer Sites,false,false
audiopourtous.fr,https://audiopourtous.fr/,,Framer Sites,false,false
auroraigloo.is,https://auroraigloo.is/,,Framer Sites,false,false
avenuesdental.com,https://avenuesdental.com/,,Framer Sites,false,false
awen-wales.com,https://www.awen-wales.com/,,Framer Sites,false,false
b4finance.com,https://www.b4finance.com/,,Framer Sites,false,false
barprzystan.pl,https://barprzystan.pl/,,Framer Sites,false,false
beamimpact.com,https://www.beamimpact.com/,,Framer Sites,false,false
beetellergroup.com,https://beetellergroup.com/,,Framer Sites,false,false
berryinvesting.com,https://berryinvesting.com/,,Framer Sites,false,false
betgenius.ia.br,https://www.betgenius.ia.br/,,Framer Sites,false,false
beurre-mou.com,https://beurre-mou.com/,,Framer Sites,false,false
bfzcycles.com,https://www.bfzcycles.com/,,Framer Sites,false,false
