domain,url,crux_rank,tech_signals,uses_issuu,uses_fliphtml5
fusskundig.de,https://www.fusskundig.de/,,Webflow,false,false
futureevidence.org,https://www.futureevidence.org/,,Webflow,false,false
g2ganimalgarden.com,https://www.g2ganimalgarden.com/,,Webflow,false,false
gala.fr,https://mentions-legales.gala.fr/,,Webflow,false,false
galleryofguns.com,https://blog.galleryofguns.com/,,Webflow,false,false
galvestonhistorycenter.org,https://www.galvestonhistorycenter.org/,,Webflow,false,false
garaj.org,https://mobil.garaj.org/,,Webflow,false,false
gardenspotnurseryinc.com,https://www.gardenspotnurseryinc.com/,,Webflow,false,false
gaspais.com.co,https://nueva.gaspais.com.co/,,Webflow,false,false
gastonsanitation.com,https://www.gastonsanitation.com/,,Webflow,false,false
gastropraxis-leipzig.de,https://www.gastropraxis-leipzig.de/,,Webflow,false,false
gatlinsescapegames.com,https://www.gatlinsescapegames.com/,,Webflow,false,false
gelredierenartsen.nl,https://www.gelredierenartsen.nl/,,Webflow,false,false
gelredome.nl,https://www.gelredome.nl/,,Webflow,false,false
gems-kleinblittersdorf.de,https://www.gems-kleinblittersdorf.de/,,Webflow,false,false
genesisniagara.ca,https://www.genesisniagara.ca/,,Webflow,false,false
germanicago.com.br,https://germanicago.com.br/,,Webflow,false,false
getflits.com,https://www.getflits.com/,,Webflow,false,false
getmucho.fr,https://www.getmucho.fr/,,Webflow,false,false
getparsel.com,https://www.getparsel.com/,,Webflow,false,false
getrenn.com,https://getrenn.com/,,Webflow,false,false
getspeechflow.com,https://www.getspeechflow.com/,,Webflow,false,false
getzuma.com,https://www.getzuma.com/,,Webflow,false,false
gfitwellness.ca,https://www.gfitwellness.ca/,,Webflow,false,false
ghlogisticsllc.com,https://www.ghlogisticsllc.com/,,Webflow,false,false
giskehavfiske.no,https://www.giskehavfiske.no/,,Webflow,false,false
givingtuesday.org,https://www.givingtuesday.org/,,Webflow,false,false
glopticsusa.com,https://www.glopticsusa.com/,,Webflow,false,false
gluco6.com,https://gluco6.com/,,Webflow,false,false
gly.co.il,https://www.gly.co.il/,,Webflow,false,false
godroppie.com,https://www.godroppie.com/,,Webflow,false,false
gohendersoncountync.org,https://gohendersoncountync.org/,,Webflow,false,false
goldilock.com,https://goldilock.com/,,Webflow,false,false
goldrepublic.com,https://www.goldrepublic.com/,,Webflow,false,false
goldshair.co.uk,https://www.goldshair.co.uk/,,Webflow,false,false
gomomentus.com,https://gomomentus.com/,,Webflow,false,false
goodtacomt.com,https://www.goodtacomt.com/,,Webflow,false,false
gourmetkokit.fi,https://www.gourmetkokit.fi/,,Webflow,false,false
graf.dental,https://www.graf.dental/,,Webflow,false,false
grandmess.com,https://www.grandmess.com/,,Webflow,false,false
grangemeat.com.au,https://www.grangemeat.com.au/,,Webflow,false,false
grapevinegroup.co.za,https://www.grapevinegroup.co.za/,,Webflow,false,false
grapplearts.com,https://www.grapplearts.com/,,Webflow,false,false
greendesign.net.au,https://www.greendesign.net.au/,,Webflow,false,false
greenworkx.org,https://www.greenworkx.org/,,Webflow,false,false
grifsag.lt,https://www.grifsag.lt/,,Webflow,false,false
grip.tools,https://www.grip.tools/,,Webflow,false,false
groupcoachinghq.com,https://www.groupcoachinghq.com/,,Webflow,false,false
groupelephant.com,https://www.groupelephant.com/,,Webflow,false,false
grupoease.com.br,https://www.grupoease.com.br/,,Webflow,false,false
guadeloupe-excursion.com,https://www.guadeloupe-excursion.com/,,Webflow,false,false
gudhjem-glasroegeri.dk,https://www.gudhjem-glasroegeri.dk/,,Webflow,false,false
guiaparaisoonline.com.br,https://www.guiaparaisoonline.com.br/,,Webflow,false,false
gustavodudamel.com,https://ve-es.gustavodudamel.com/,,Webflow,false,false
guybrown.com,https://www.guybrown.com/,,Webflow,false,false
gxs.com.sg,https://www.business.gxs.com.sg/,,Webflow,false,false
gyldagency.com,https://www.gyldagency.com/,,Webflow,false,false
h-mat.cz,https://konference.h-mat.cz/,,Webflow,false,false
hadara.edu.iq,https://hadara.edu.iq/,,Webflow,false,false
haerz.lu,https://www.haerz.lu/,,Webflow,false,false
halkazakopane.com,https://www.halkazakopane.com/,,Webflow,false,false
hameaux-legers.org,https://hameaux-legers.org/,,Webflow,false,false
happyvalleyclinic.com,https://www.happyvalleyclinic.com/,,Webflow,false,false
healthstarpremiermedical.com,https://www.healthstarpremiermedical.com/,,Webflow,false,false
healthychurchsummit.com,https://www.healthychurchsummit.com/,,Webflow,false,false
healthyrent.co,https://www.healthyrent.co/,,Webflow,false,false
heartcore.com,https://www.heartcore.com/,,Webflow,false,false
heartniagara.com,https://www.heartniagara.com/,,Webflow,false,false
hellohistory.ai,https://www.hellohistory.ai/,,Webflow,false,false
hellopoke.it,https://www.hellopoke.it/,,Webflow,false,false
hellosunset.com,https://www.hellosunset.com/,,Webflow,false,false
helm.ai,https://helm.ai/,,Webflow,false,false
helmhaus.ch,https://www.helmhaus.ch/,,Webflow,false,false
helvepic.com,https://worldofwarcraft.helvepic.com/,,Webflow,false,false
henkenjohann.de,https://www.henkenjohann.de/,,Webflow,false,false
heritagetour.com.au,https://www.heritagetour.com.au/,,Webflow,false,false
heycounsel.com,https://www.heycounsel.com/,,Webflow,false,false
heyjane.com,https://www.heyjane.com/,,Webflow,false,false
highpointclimbing.com,https://www.highpointclimbing.com/,,Webflow,false,false
hillfootskips.co.uk,https://www.hillfootskips.co.uk/,,Webflow,false,false
hinweisgeberportal.de,https://www.hinweisgeberportal.de/,,Webflow,false,false
hirundo.io,https://www.hirundo.io/,,Webflow,false,false
hno-freising.de,https://www.hno-freising.de/,,Webflow,false,false
hoa-sen-restaurant.de,https://www.hoa-sen-restaurant.de/,,Webflow,false,false
holhosfb.com.br,https://www.holhosfb.com.br/,,Webflow,false,false
holisticai.com,https://www.holisticai.com/,,Webflow,false,false
hostie.ai,https://hostie.ai/,,Webflow,false,false
hotel-komorinu.com,https://www.hotel-komorinu.com/,,Webflow,false,false
hotelappia.com,https://www.hotelappia.com/,,Webflow,false,false
hotline.rip,https://www.hotline.rip/,,Webflow,false,false
hpac.co.nz,https://www.hpac.co.nz/,,Webflow,false,false
huidwijs.nl,https://www.huidwijs.nl/,,Webflow,false,false
hunterguide.com.hk,https://www.hunterguide.com.hk/,,Webflow,false,false
