domain,url,crux_rank,tech_signals,uses_issuu,uses_fliphtml5
caridadatkingsbridge.com,https://www.caridadatkingsbridge.com/,,Wix,false,false
carlindoplay.com.br,https://www.carlindoplay.com.br/,,Wix,false,false
carlottagallery.co.uk,https://www.carlottagallery.co.uk/,,Wix,false,false
carolark.com,https://www.carolark.com/,,Wix,false,false
carolephotography.com,https://www.carolephotography.com/,,Wix,false,false
carplanning.info,https://www.carplanning.info/,,Wix,false,false
carterpulse.com,https://www.carterpulse.com/,,Wix,false,false
cartsurplus.com,https://www.cartsurplus.com/,,Wix,false,false
carvaocuritiba.com.br,https://www.carvaocuritiba.com.br/,,Wix,false,false
carver2.com.tr,https://www.carver2.com.tr/,,Wix,false,false
casacavada1940.com,https://www.casacavada1940.com/,,Wix,false,false
casacristina.mx,https://www.casacristina.mx/,,Wix,false,false
casadani.es,https://www.casadani.es/,,Wix,false,false
casadaslampadas.net,https://www.casadaslampadas.net/,,Wix,false,false
casagaibor.com,https://es.casagaibor.com/,,Wix,false,false
casaguajardo.com,https://www.casaguajardo.com/,,Wix,false,false
casaitalianaschool.org,https://www.casaitalianaschool.org/,,Wix,false,false
casajoia.com.py,https://www.casajoia.com.py/,,Wix,false,false
casakenji.com,https://www.casakenji.com/,,Wix,false,false
casaraodoceramista.com.br,https://www.casaraodoceramista.com.br/,,Wix,false,false
casaxu.com,https://www.casaxu.com/,,Wix,false,false
casazaragozamadison.com,https://www.casazaragozamadison.com/,,Wix,false,false
cascadeinnatfallcreekfalls.com,https://www.cascadeinnatfallcreekfalls.com/,,Wix,false,false
cascosafetyglobal.com,https://www.cascosafetyglobal.com/,,Wix,false,false
casinosanremo.co.il,https://www.casinosanremo.co.il/,,Wix,false,false
cassinera.com,https://www.cassinera.com/,,Wix,false,false
castelobilingualschool.com.br,https://www.castelobilingualschool.com.br/,,Wix,false,false
cat-advocate.com,https://www.cat-advocate.com/,,Wix,false,false
catamaran-la-rochelle.com,https://www.catamaran-la-rochelle.com/,,Wix,false,false
catchpower.com.au,https://www.catchpower.com.au/,,Wix,false,false
cateringlviv.com,https://www.cateringlviv.com/,,Wix,false,false
catgrooming.my,https://www.catgrooming.my/,,Wix,false,false
catholickatasechurch.com,https://www.catholickatasechurch.com/,,Wix,false,false
catlook.pt,https://www.catlook.pt/,,Wix,false,false
cavellsfolkestone.com,https://www.cavellsfolkestone.com/,,Wix,false,false
cavesdegondecourt.fr,https://www.cavesdegondecourt.fr/,,Wix,false,false
cavespringgolfcenter.com,https://www.cavespringgolfcenter.com/,,Wix,false,false
cblitio.com.br,https://www.cblitio.com.br/,,Wix,false,false
cbmachineservice.com,https://www.cbmachineservice.com/,,Wix,false,false
cbsacabaneta.com,https://www.cbsacabaneta.com/,,Wix,false,false
cccfoundation.net,https://www.cccfoundation.net/,,Wix,false,false
cchiropractic.com,https://www.cchiropractic.com/,,Wix,false,false
ccss.org,https://www.ccss.org/,,Wix,false,false
ccxrc.com,https://www.ccxrc.com/,,Wix,false,false
cdelalamo.com,https://www.cdelalamo.com/,,Wix,false,false
cdmoodyconstruction.com,https://www.cdmoodyconstruction.com/,,Wix,false,false
ceard.com,https://www.ceard.com/,,Wix,false,false
cecelib.com,https://www.cecelib.com/,,Wix,false,false
celebrationartsacademy.com,https://www.celebrationartsacademy.com/,,Wix,false,false
censu.net,https://www.censu.net/,,Wix,false,false
centierspecialties.com,https://www.centierspecialties.com/,,Wix,false,false
centralarkansasentertainment.com,https://www.centralarkansasentertainment.com/,,Wix,false,false
centralcarolinadrivingschool.com,https://www.centralcarolinadrivingschool.com/,,Wix,false,false
centralpestisbest.com,https://www.centralpestisbest.com/,,Wix,false,false
centralsolutions.com,https://www.centralsolutions.com/,,Wix,false,false
