domain,url,crux_rank,tech_signals,uses_issuu,uses_fliphtml5
volunteersligo.ie,https://volunteersligo.ie/,,WordPress,false,false
vrworldsk.com,https://vrworldsk.com/,,WordPress,false,false
watertightplumbingandsewerservice.com,https://watertightplumbingandsewerservice.com/,,WordPress,false,false
willoughbytheatreco.com.au,https://willoughbytheatreco.com.au/,,WordPress,false,false
worldwithasuitcase.com,https://worldwithasuitcase.com/,,WordPress,false,false
yamatekaigo.jp,https://yamatekaigo.jp/,,WordPress,false,false
znaniyaetosila.ru,https://znaniyaetosila.ru/,,WordPress,false,false
19thgolf.jp,https://19thgolf.jp/,,WordPress,false,false
5280stone.com,https://www.5280stone.com/,,WordPress|Elementor,false,false
aaamaze.com,https://www.aaamaze.com/,,WooCommerce|WordPress|Elementor,false,false
abbotsfordchances.ca,https://abbotsfordchances.ca/,,WordPress,false,false
accademiadiartestetica.it,https://www.accademiadiartestetica.it/,,WordPress|WooCommerce|Elementor,false,false
acquaspecialist.it,https://acquaspecialist.it/,,WordPress|WooCommerce,false,false
adventism.pro,https://adventism.pro/,,WordPress,false,false
agconcept.ru,https://agconcept.ru/,,WooCommerce|WordPress,false,false
ai-communication.co.jp,https://www.ai-communication.co.jp/,,WordPress,false,false
albatrosses.in,https://albatrosses.in/,,WordPress,false,false
alvarezquanttrading.com,https://alvarezquanttrading.com/,,WordPress,false,false
aomori-yamaka.com,https://www.aomori-yamaka.com/,,WordPress|Elementor,false,false
apt123.co.uk,https://apt123.co.uk/,,WordPress|Divi,false,false
arbitrationcouncil.org,https://www.arbitrationcouncil.org/,,WordPress,false,false
armenergy.com,https://www.armenergy.com/,,WordPress,false,false
arundown.org.uk,https://www.arundown.org.uk/,,WordPress,false,false
atelierphone.com,https://www.atelierphone.com/,,WordPress|WooCommerce|Elementor,false,false
autism360.com,https://www.autism360.com/,,WordPress,false,false
awacs.co.il,https://awacs.co.il/,,WordPress|Elementor,false,false
badkamer-gids.nl,https://www.badkamer-gids.nl/,,WordPress,false,false
bcuwalcz.pl,https://bcuwalcz.pl/,,WordPress|Elementor,false,false
bestglutenfreebeers.com,https://bestglutenfreebeers.com/,,WordPress|Elementor,false,false
blacknosejob.com,https://blacknosejob.com/,,WordPress,false,false
bogogpen.dk,https://bogogpen.dk/,,WooCommerce|WordPress|Divi,false,false
boominator.com,https://boominator.com/,,WordPress|Elementor,false,false
brno-interna.cz,https://www.brno-interna.cz/,,WordPress|Divi,false,false
buddemeyer.com.br,https://www.buddemeyer.com.br/,,WordPress,false,false
bureauvoorlichtingbinnenvaart.nl,https://bureauvoorlichtingbinnenvaart.nl/,,WordPress,false,false
caduceus.vc,https://caduceus.vc/,,WordPress|Divi,false,false
cancunhotelbrasilia.com.br,https://cancunhotelbrasilia.com.br/,,WordPress|Elementor,false,false
cctcentre.com.au,https://cctcentre.com.au/,,WordPress|Elementor,false,false
chempfoods.com,https://chempfoods.com/,,WooCommerce|WordPress,false,false
chigonomori.com,https://chigonomori.com/,,WordPress,false,false
christianiateater.com,https://christianiateater.com/,,WordPress,false,false
citypizza.lt,https://citypizza.lt/,,WordPress|Elementor,false,false
clinicaloscanelos.cl,https://www.clinicaloscanelos.cl/,,WordPress,false,false
coalitiontogrowcarbonmarkets.org,https://coalitiontogrowcarbonmarkets.org/,,WordPress,false,false
colegiogreenland.cl,https://colegiogreenland.cl/,,WordPress,false,false
colombogroup.eu,https://www.colombogroup.eu/,,WordPress,false,false
consciousparis.com,https://consciousparis.com/,,WordPress|WooCommerce|Elementor,false,false
cooksvillelumber.ca,https://www.cooksvillelumber.ca/,,WordPress,false,false
corsicamadness.fr,https://www.corsicamadness.fr/,,WordPress|Divi,false,false
cozywanders.com,https://cozywanders.com/,,WordPress|Elementor,false,false
crmath.ca,https://www.crmath.ca/,,WordPress,false,false
csop-praha15.cz,https://www.csop-praha15.cz/,,Elementor|WordPress,false,false
cycle-obsession.com,https://cycle-obsession.com/,,WordPress|Elementor,false,false
danielanegru.com,https://www.danielanegru.com/,,WordPress,false,false
davidcachon.com,https://davidcachon.com/,,WooCommerce|WordPress,false,false
deliamuresan.ro,https://deliamuresan.ro/,,WooCommerce|WordPress|Elementor,false,false
diecabreras.com,https://www.diecabreras.com/,,WordPress,false,false
directsms.com.au,https://directsms.com.au/,,WordPress,false,false
doptechinteriors.co.ke,https://doptechinteriors.co.ke/,,WordPress|WooCommerce|Elementor,false,false
dremilyparke.com,https://dremilyparke.com/,,WooCommerce|WordPress|Elementor,false,false
dumameats.com,https://dumameats.com/,,WordPress,false,false
eatonsquare.co.uk,https://eatonsquare.co.uk/,,WordPress,false,false
elcargolet.net,http://elcargolet.net/,,WordPress,false,false
embezzlement.jp,https://embezzlement.jp/,,WordPress,false,false
empireworld.com.my,https://empireworld.com.my/,,WordPress,false,false
eqao.com,https://www.eqao.com/,,WordPress,false,false
evenparauto.com,https://www.evenparauto.com/,,WordPress,false,false
exeo-digitalsolutions.co.jp,https://www.exeo-digitalsolutions.co.jp/,,WordPress,false,false
farmaciaveterinariaonline.com,https://farmaciaveterinariaonline.com/,,WordPress|WooCommerce,false,false
fillin.work,https://fillin.work/,,WordPress,false,false
flavorfoodway.com,https://www.flavorfoodway.com/,,WooCommerce|WordPress,false,false
flytri.com,https://flytri.com/,,WordPress,false,false
freefrompiles.com,https://www.freefrompiles.com/,,WordPress,false,false
fugen-corp.co.jp,https://fugen-corp.co.jp/,,WordPress,false,false
fupunomori.net,https://fupunomori.net/,,WordPress|Elementor,false,false
gabi-cota.jp,https://gabi-cota.jp/,,WordPress,false,false
gebzetemizlik.net,https://gebzetemizlik.net/,,WordPress,false,false
getexperts.ru,https://getexperts.ru/,,WordPress|Elementor,false,false
goldworldsolar.com.br,https://goldworldsolar.com.br/,,WordPress|Elementor,false,false
gr-tec.com,https://gr-tec.com/,,WordPress,false,false
graphicspoint.in,https://store.graphicspoint.in/,,WooCommerce|WordPress|Elementor,false,false
gruposicor.com,https://gruposicor.com/,,WordPress,false,false
happycall.co.id,https://happycall.co.id/,,Elementor|WordPress|WooCommerce,false,false
haxengrill.com,https://haxengrill.com/,,WordPress,false,false
helmerhof.de,https://helmerhof.de/,,WordPress|Elementor,false,false
hino-film.com,https://www.hino-film.com/,,WordPress,false,false
ho-rindo.co.jp,https://www.ho-rindo.co.jp/,,WordPress,false,false
icmeindia.com,https://icmeindia.com/,,WordPress|Divi,false,false
imperialdetailing.uk,https://imperialdetailing.uk/,,WordPress|Elementor,false,false
infoworld.com,https://www.infoworld.com/,,WordPress,false,false
insuranceinternationalstudents.com,https://insuranceinternationalstudents.com/,,WordPress|WooCommerce|Elementor,false,false
iteacher.tech,https://www.iteacher.tech/,,WordPress,false,false
ivi-fruchtbarkeit.de,https://ivi-fruchtbarkeit.de/,,WordPress,false,false
jardimdomar-residenciasenior.pt,https://jardimdomar-residenciasenior.pt/,,WordPress|Elementor,false,false
jdpofs.org,https://jdpofs.org/,,WordPress,false,false
jili777.org.ph,https://jili777.org.ph/,,WordPress,false,false
kagawa-kaisya.com,https://www.kagawa-kaisya.com/,,WordPress,false,false
kerimotors.hu,https://kerimotors.hu/,,WordPress|WooCommerce,false,false
kingswayidaho.com,https://kingswayidaho.com/,,WordPress|Elementor,false,false
kizofest.com,https://kizofest.com/,,WordPress|Elementor,false,false
konfettirausch.de,https://konfettirausch.de/,,WordPress|WooCommerce,false,false
kranendonkbv.com,https://kranendonkbv.com/,,WordPress|Elementor,false,false
kyprossolar.com,https://kyprossolar.com/,,Elementor|WordPress|WooCommerce,false,false
lcr.church,https://www.lcr.church/,,WordPress,false,false
legendaryservice.com,https://legendaryservice.com/,,WordPress|Elementor,false,false
liebe-im-kopf.de,https://liebe-im-kopf.de/,,WordPress,false,false
lohas-print.com,https://lohas-print.com/,,WordPress,false,false
lyrahealth.com,https://www.lyrahealth.com/,,WordPress,false,false
magpiewedding.com,https://www.magpiewedding.com/,,WooCommerce|WordPress,false,false
marja.ir,https://en.marja.ir/,,WordPress,false,false
marshalltrees.com,https://marshalltrees.com/,,WordPress|Elementor,false,false
massingillsmeatmarket.com,https://massingillsmeatmarket.com/,,WordPress,false,false
mccorklefuneralhome.com,https://mccorklefuneralhome.com/,,WordPress|WooCommerce,false,false
meeyazh.in,https://meeyazh.in/,,Elementor|WooCommerce|WordPress,false,false
merchpay.com,https://merchpay.com/,,WordPress,false,false
mikamagazine.com,https://mikamagazine.com/,,WordPress,false,false
mitsubishikediri.com,https://mitsubishikediri.com/,,WordPress|Elementor,false,false
mondlinepro.rs,https://mondlinepro.rs/,,WordPress|Elementor,false,false
morita-golf.co.jp,https://morita-golf.co.jp/,,WordPress|Elementor,false,false
mulleretchriste.ch,https://www.mulleretchriste.ch/,,WordPress,false,false
mutxoppefoam.vn,https://mutxoppefoam.vn/,,WordPress,false,false
namicertification.com,https://www.namicertification.com/,,WordPress,false,false
nbsitalyhub.it,https://www.nbsitalyhub.it/,,WordPress|WooCommerce,false,false
newmovementperth.com.au,https://newmovementperth.com.au/,,WordPress|Elementor,false,false
nilky.co,https://nilky.co/,,WooCommerce|WordPress|Elementor,false,false
nomadaresidences.com,https://nomadaresidences.com/,,WordPress|Elementor,false,false
noviasdeblanco.cl,https://noviasdeblanco.cl/,,WooCommerce|WordPress,false,false
nurse-singlemother.jp,https://nurse-singlemother.jp/,,WordPress,false,false
occasionsbyshakira.com,https://occasionsbyshakira.com/,,WordPress|Elementor,false,false
okamoto-kimono.com,https://www.okamoto-kimono.com/,,WordPress,false,false
ortoarte.pl,https://ortoarte.pl/,,WordPress,false,false
ozcast.com.au,https://www.ozcast.com.au/,,WordPress,false,false
panourisandwich.md,https://panourisandwich.md/,,WordPress|Elementor,false,false
partypeople.company,https://www.partypeople.company/,,WooCommerce|WordPress|Elementor,false,false
permatilglobal.org,https://permatilglobal.org/,,WooCommerce|WordPress,false,false
pic-consultants.fr,https://www.pic-consultants.fr/,,WordPress,false,false
piscinasloshermanos.com,https://www.piscinasloshermanos.com/,,WordPress,false,false
podologoenqueretaro.com.mx,https://podologoenqueretaro.com.mx/,,WordPress|Elementor,false,false
popugai.info,https://popugai.info/,,WordPress,false,false
pridecentreofedmonton.ca,https://pridecentreofedmonton.ca/,,WordPress,false,false
px3.com.ar,https://px3.com.ar/,,WordPress|Elementor,false,false
referavet.fr,https://referavet.fr/,,WordPress|Divi,false,false
revistaequato.com,https://www.revistaequato.com/,,WordPress|Elementor,false,false
ridgewoodguild.com,https://ridgewoodguild.com/,,WordPress,false,false
rot-weiss-schoenow.de,https://www.rot-weiss-schoenow.de/,,WordPress,false,false
s2institute.com,https://www.s2institute.com/,,WooCommerce|WordPress|Elementor,false,false
samwebster.net,https://samwebster.net/,,WordPress,false,false
sasasushi.jp,https://sasasushi.jp/,,WordPress,false,false
seeddesignusa.com,https://seeddesignusa.com/,,WordPress|WooCommerce,false,false
sevenmills.com,https://sevenmills.com/,,WordPress,false,false
shorehamcollege.co.uk,https://www.shorehamcollege.co.uk/,,WordPress,false,false
silpa.co.in,https://silpa.co.in/,,WordPress|Elementor,false,false
sjbusinessguild.org,https://sjbusinessguild.org/,,WooCommerce|WordPress|Elementor,false,false
smakgruzji.pl,https://smakgruzji.pl/,,WordPress,false,false
smpionier.pl,https://smpionier.pl/,,WordPress,false,false
sommarlandhandballcup.no,https://sommarlandhandballcup.no/,,WordPress,false,false
sscc-cuenca.edu.ec,https://sscc-cuenca.edu.ec/,,Elementor|WordPress|WooCommerce,false,false
ststephensculpeper.net,https://www.ststephensculpeper.net/,,WordPress,false,false
supremeoutdoorblinds.com.au,https://www.supremeoutdoorblinds.com.au/,,Elementor|WordPress,false,false
syamoken.jp,https://syamoken.jp/,,WordPress,false,false
tamamiya.net,https://tamamiya.net/,,WordPress,false,false
tarot-entdecken.de,https://tarot-entdecken.de/,,WordPress,false,false
teddyoutready.com,https://teddyoutready.com/,,WordPress,false,false
tenri-h.ed.jp,https://www.tenri-h.ed.jp/,,WordPress,false,false
thearts.group,https://thearts.group/,,WordPress|Elementor,false,false
thegrandupperroom.com,https://thegrandupperroom.com/,,WordPress|Elementor,false,false
theonlywayisghana.com,https://theonlywayisghana.com/,,WordPress,false,false
