domain,url,crux_rank,tech_signals,uses_issuu,uses_fliphtml5,uses_woo
dokugaku-online.com,https://dokugaku-online.com/,,WordPress,false,false,false
cleansolutions.com.ar,https://cleansolutions.com.ar/,,Elementor|WooCommerce|WordPress,false,false,true
flyinglessons.us,https://flyinglessons.us/,,WordPress|Yoast SEO,false,false,false
dentrangtrihanoi.vn,https://dentrangtrihanoi.vn/,,WooCommerce|WordPress,false,false,true
dvt.com.ua,https://dvt.com.ua/,,WordPress,false,false,false
afonsos.com,https://afonsos.com/,,WordPress|Divi,false,false,false
dentalswiss-clinics.ch,https://dentalswiss-clinics.ch/,,WordPress|Yoast SEO,false,false,false
elenaevstratova.ru,https://elenaevstratova.ru/,,Elementor|WordPress|Yoast SEO,false,false,false
easymtheory.com,https://easymtheory.com/,,WordPress|Elementor|Yoast SEO,false,false,false
biccaietfils.be,https://biccaietfils.be/,,WordPress|Elementor,false,false,false
ecoparkvinh.com,https://ecoparkvinh.com/,,WordPress|Yoast SEO,false,false,false
app-cafe.mobi,https://app-cafe.mobi/,,WordPress,false,false,false
egycheo.com,https://egycheo.com/,,WordPress|Elementor,false,false,false
damilano.com.br,https://damilano.com.br/,,WordPress|Elementor,false,false,false
classroominthemiddle.com,https://classroominthemiddle.com/,,WordPress,false,false,false
crackingcet.com,https://crackingcet.com/,,WordPress,false,false,false
dermatologie-vinohrady.cz,https://dermatologie-vinohrady.cz/,,WordPress|Divi|Yoast SEO,false,false,false
cenman.com.au,https://cenman.com.au/,,WordPress|Elementor|Yoast SEO,false,false,false
altmer.ee,https://altmer.ee/,,WordPress,false,false,false
don-peresvet.ru,https://don-peresvet.ru/,,WordPress|Yoast SEO,false,false,false
domvred.ru,https://domvred.ru/,,WordPress|Yoast SEO,false,false,false
drerori-na.com,https://drerori-na.com/,,WordPress,false,false,false
aix-meyreuil.fr,https://cso.aix-meyreuil.fr/,,Elementor|WordPress|Yoast SEO,false,false,false
dpme.ca,https://dpme.ca/,,WordPress,false,false,false
deveranderkamer.nl,https://deveranderkamer.nl/,,WordPress|Divi|Yoast SEO,false,false,false
acadia-now.de,https://acadia-now.de/,,WordPress|WooCommerce|Yoast SEO,false,false,true
wordpress.com,https://emreinanckayaturk.wordpress.com/,,WordPress,false,false,false
ems.bike,https://ems.bike/,,WordPress|Elementor,false,false,false
akabaneshiki.com,https://akabaneshiki.com/,,WordPress,false,false,false
editionsfrancophonie.com,https://editionsfrancophonie.com/,,WordPress|Yoast SEO,false,false,false
dustanddoghair.com,https://dustanddoghair.com/,,WordPress,false,false,false
colourindia.com,https://colourindia.com/,,WordPress|WooCommerce,false,false,true
brkvale.bham.sch.uk,https://brkvale.bham.sch.uk/,,WordPress,false,false,false
brmobility.com.br,https://brmobility.com.br/,,WordPress|Elementor,false,false,false
bro-tech.org,https://bro-tech.org/,,WordPress|WooCommerce|Divi,false,false,true
chipalatta.com,https://chipalatta.com/,,WordPress,false,false,false
eracademy.it,https://eracademy.it/,,WordPress,false,false,false
chretiensetcultures.fr,https://chretiensetcultures.fr/,,WordPress|Elementor,false,false,false
tumblr.com,https://chrisnewbie.tumblr.com/,,WordPress,false,false,false
contractorscraneco.com,https://contractorscraneco.com/,,WordPress|Elementor,false,false,false
crimea.team,https://crimea.team/,,WordPress|Yoast SEO,false,false,false
crickhowellchoralsociety.org,https://crickhowellchoralsociety.org/,,WordPress|Elementor,false,false,false
elsantobangkok.com,https://elsantobangkok.com/,,WordPress,false,false,false
5thavenuegrill.com,https://5thavenuegrill.com/,,WordPress|WooCommerce|Elementor,false,false,true
cortestravel.it,https://cortestravel.it/,,WordPress|WooCommerce,false,false,true
cog7.org,https://cog7.org/,,WordPress|Yoast SEO,false,false,false
elitewater.ie,https://elitewater.ie/,,WordPress|Divi|Yoast SEO,false,false,false
godrejlockersbangladesh.com,https://godrejlockersbangladesh.com/,,WordPress|WooCommerce|Elementor|Yoast SEO,false,false,true
ciruele.com,https://ciruele.com/,,WordPress|Yoast SEO,false,false,false
dixiecanner.com,https://dixiecanner.com/,,WordPress|WooCommerce|Elementor,false,false,true
evahernandezramos.com,https://evahernandezramos.com/,,WordPress|Divi|Yoast SEO,false,false,false
computeroutletpr.com,https://computeroutletpr.com/,,Elementor|WooCommerce|WordPress,false,false,true
egashirasuido.com,https://egashirasuido.com/,,WordPress,false,false,false
activeptcgroup.com,https://activeptcgroup.com/,,WordPress|Yoast SEO,false,false,false
eingev.co.il,https://eingev.co.il/,,WordPress|Yoast SEO,false,false,false
dentalartistry.co.uk,https://dentalartistry.co.uk/,,Elementor|WordPress|Yoast SEO,false,false,false
btenter.co.kr,https://btenter.co.kr/,,WordPress|Elementor,false,false,false
collettivochiaroscuro.com,https://collettivochiaroscuro.com/,,WordPress|WooCommerce|Elementor,false,false,true
colmec.se,https://colmec.se/,,Elementor|WordPress|Yoast SEO,false,false,false
controlinset.com.br,https://controlinset.com.br/,,WordPress|Elementor,false,false,false
artzstar.com,https://artzstar.com/,,Elementor|WooCommerce|WordPress|Yoast SEO,false,false,true
clasicosanimados.net,https://clasicosanimados.net/,,WordPress,false,false,false
lingyetraining.com,https://events.lingyetraining.com/,,WooCommerce|WordPress|Elementor,false,false,true
colgbtqcc.org,https://colgbtqcc.org/,,WordPress|Yoast SEO,false,false,false
dollanicamp.com,https://dollanicamp.com/,,WordPress|Elementor|Yoast SEO,false,false,false
ca-ca.ca,https://ca-ca.ca/,,WordPress,false,false,false
ulyssenegoce.tn,https://www.ulyssenegoce.tn/,,WordPress|WooCommerce|Elementor|Yoast SEO,false,false,true
cavancompanies.com,https://cavancompanies.com/,,WordPress,false,false,false
chambersandblohm.com,https://chambersandblohm.com/,,WordPress|Elementor|Yoast SEO,false,false,false
genesistemple.com,https://genesistemple.com/,,WordPress|Yoast SEO,false,false,false
bestbrainsandminds.com.au,https://bestbrainsandminds.com.au/,,WordPress|Elementor|Yoast SEO,false,false,false
fotocopysemarang.co.id,https://fotocopysemarang.co.id/,,Elementor|WooCommerce|WordPress|Yoast SEO,false,false,true
coconutsurfexperience.com,https://coconutsurfexperience.com/,,WordPress|Elementor|Yoast SEO,false,false,false
clubcardenalesgold.com,https://clubcardenalesgold.com/,,WordPress|Elementor,false,false,false
club-yumeya.jp,https://club-yumeya.jp/,,WordPress,false,false,false
hamluongtourist.com.vn,http://hamluongtourist.com.vn/,,WordPress,false,false,false
uisu.ac.id,https://fk.uisu.ac.id/,,WordPress,false,false,false
chuckwells.com,https://chuckwells.com/,,WordPress|WooCommerce|Yoast SEO,false,false,true
eventcentrum.ru,https://eventcentrum.ru/,,WordPress|Elementor|Yoast SEO,false,false,false
bcsga.ca,https://bcsga.ca/,,WordPress|Yoast SEO,false,false,false
